,p,padj,loglik_full,loglik_red,df_full,df_red,mean,converge_impulse,converge_const,converge_sigmoid,impulseTOsigmoid_p,impulseTOsigmoid_padj,sigmoidTOconst_p,sigmoidTOconst_padj,isTransient,isMonotonous,allZero
bcmo-2,0.166643342229684,0.451101649993855,-2.53185735859926,-6.44010314391162,7,2,0.399881701205781,0,0,0,0.123219322173409,0.6227583071249,0.304423408044449,0.662336749068349,False,False,False
F53C3.13,0.966660896928803,0.999999378271023,-50.006461496527,-50.4803898704412,7,2,174.366129452929,0,0,0,0.989194535390492,1.0,0.81911832757373,0.999999999918703,False,False,False
tag-304,0.982283819375261,0.999999378271023,-52.2629836211852,-52.6191603085006,7,2,228.506012956357,0,0,0,0.992354755747571,1.0,0.873908379229594,0.999999999918703,False,False,False
F53E10.1,0.658631426653607,0.999999378271023,-41.6715924973572,-43.3059606725256,7,2,73.8343509195002,0,0,0,0.792318100732759,1.0,0.42298135398005,0.824924674327492,False,False,False
irg-3,0.018953642192032,0.0916265798570974,-15.309217352886,-22.0698817705179,7,2,3.01147884619446,0,0,0,1.0,1.0,0.000108572596182,0.0011394875596322,False,False,False
F53E10.5,0.509611337572013,0.908140080298661,-19.5714486363803,-21.7122973459478,7,2,5.12508555485724,0,0,0,0.315352265527247,0.969070136733973,0.577910955675679,0.980225203982675,False,False,False
F53E10.6,0.9409083574464,0.999999378271023,-51.0281746967053,-51.6485515877212,7,2,200.893501327331,0,0,0,1.0,1.0,0.620443292267855,0.999999999918703,False,False,False
F53F10.1,0.99597347835791,0.999999378271023,-77.3520763008734,-77.5399080992745,7,2,4966.90275354863,0,0,0,0.955657316591583,1.0,0.96283333676164,0.999999999918703,False,False,False
F53F10.2,0.753687010206719,0.999999378271023,-53.9834573140509,-55.3086784329378,7,2,348.229102160934,0,0,0,0.659285876788027,1.0,0.611189186886856,0.99855862987209,False,False,False
mpc-2,0.938742310681935,0.999999378271023,-48.4279486524064,-49.059200498725,7,2,354.422242729075,0,0,0,0.606654613339648,1.0,0.966845747976837,0.999999999918703,False,False,False
F53G2.1,0.0020619860804999,0.0156995660800097,-50.2503390983151,-59.6684080200532,7,2,549.856858611301,0,0,0,1.0,1.0,4.10192534986018e-05,0.0004911177119476,False,True,False
F53G2.2,0.0625648348009402,0.227619898981977,-12.728639983685,-17.9719400962316,7,2,2.19630191073658,0,0,0,0.007889087595705,0.134171518675871,0.848976484160903,0.999999999918703,False,False,False
mnat-1,0.0162814402454817,0.0815863722063256,-39.4294057438594,-46.3775772412397,7,2,224.395016407217,0,0,0,0.0052396173115902,0.101457390905909,0.334862734418149,0.705826841727131,False,False,False
duox-2,0.432296639931749,0.832623737109642,-12.0618521696047,-14.4954715498142,7,2,1.84550986393264,0,0,0,1.0,1.0,0.0625296119029112,0.213772826742914,False,False,False
F53G12.4,0.0001688308804463,0.0018691895752008,-12.7000833746419,-24.9839098383438,7,2,4.91463083028638,0,0,0,0.137183465052894,0.658443316112427,0.0001277759521017,0.0013184834355765,False,False,False
F53G12.8,0.116732307896406,0.351867020769948,-18.1189430434079,-22.5257632000755,7,2,5.38651951711576,0,0,0,0.999908127611866,1.0,0.0318767033688353,0.12779651938497,False,False,False
F53G12.9,0.234746608412033,0.566429145562728,-28.5103799768745,-31.9180073680689,7,2,18.546498418635,0,0,0,0.555184098733275,1.0,0.130594334389343,0.369432790428851,False,False,False
F53H1.1,0.955399194465164,0.999999378271023,-50.1076833882045,-50.6503183200035,7,2,176.398880705473,0,0,0,1.0,1.0,0.723771200683599,0.999999999918703,False,False,False
F53H1.3,0.996169238536129,0.999999378271023,-36.6990411076758,-36.882962271821,7,2,37.1293433194855,0,0,0,0.879131275682723,1.0,0.990585872610547,0.999999999918703,False,False,False
