"","x"
"821","unannotated"
"822","ABalaaaala/ABalaapaaa"
"823","unannotated"
"824","ABalaapapp/ABalppaapp"
"825","unannotated"
"826","ABpxapaapa"
"827","MSapaap"
"828","unannotated"
"829","MSpaaap"
"830","Cpapax"
"831","ABpxpaaapp"
"832","ABpxppppp"
"833","Cxpppp"
"834","unannotated"
"835","ABalppppaa/ABpraaapaa"
"836","unannotated"
"837","ABpxppaapp"
"838","ABarpapaap/ABplaaaaap"
"839","MSaaaaa"
"840","unannotated"
"841","ABarpappa/ABplaaapa"
"842","ABalpaaapa/ABarapaapa"
"843","ABalppppaa/ABpraaapaa"
"844","ABpxpaappp"
"845","Cxaaax/Cxaapa"
"846","MSxpppa"
"847","ABalaapppa/ABalapaapa"
"848","Cxaaax/Cxaapa"
"849","ABpxapppaa"
"850","Cxpaa"
"851","ABalaaapar/ABalaaappl"
"852","ABpxpaaaaa"
"853","ABpxpaappa"
"854","MSxapapp"
"855","ABpxpapapa"
"856","ABpxapapap"
"857","ABpxapppa"
"858","unannotated"
"859","ABalpppapp/ABpraaaapp"
"860","MSxapap"
"861","MSaaaappp/MSxapaapp"
"862","ABalpaaaap/ABarapaaap"
"863","ABpxpaaaaa"
"864","Cxpppp"
"865","unannotated"
"866","MSxapap"
"867","ABpxpaappp"
"868","ABalapaaaa/ABalappapa"
"869","ABpxaappaa"
"870","ABalpaaapp/ABarapaapp"
"871","ABpxpapaap"
"872","MSxaapa"
"873","unannotated"
"874","ABalpaaaap/ABarapaaap"
"875","ABalapxpp"
"876","ABpxpppppp"
"877","Cxaaax/Cxaapa"
"878","Cxppa"
"879","Cxpap"
"880","ABalpapap/ABarappap"
"881","MSapaap"
"882","MSxapaa"
"883","ABarppxpax"
"884","ABalaapppa/ABalapaapa"
"885","Eaxpp/Epxap"
"886","ABalpppapa/ABpraaaapa"
"887","unannotated"
"888","ABarppxppa"
"889","ABalppppa/ABpraaapa"
"890","unannotated"
"891","ABalpapppp/ABarapappp"
"892","ABpxpaappaa"
"893","ABpxppppaa"
"894","MSxapapp"
"895","ABalpppapa/ABpraaaapa"
"896","MSxpaaaa"
"897","ABaraapxapp/ABarapapppa"
"898","Dxppp"
"899","unannotated"
"900","ABprpappaa"
"901","ABpxappppa"
"902","unannotated"
"903","Cxpapp"
"904","unannotated"
"905","ABpxpapaa"
"906","unannotated"
"907","Cxppap"
"908","Dxpp"
"909","Cxppp"
"910","unannotated"
"911","Cxapp"
"912","ABpxapppapp"
"913","ABpxapapa"
"914","ABpxapappp"
"915","ABarpappa/ABplaaapa"
"916","unannotated"
"917","unannotated"
"918","Cpappv"
"919","MSxappp"
"920","MSxpaaaa"
"921","MSxpaaap"
"922","unannotated"
"923","MSapaap"
"924","unannotated"
"925","unannotated"
"926","ABpxpaaapa"
"927","unannotated"
"928","ABpxapapa"
"929","ABalappaap"
"930","ABarpapppx/ABplaaappx"
"931","MSxpppp"
"932","MSxppppp"
"933","unannotated"
"934","ABpxapppaa"
"935","ABalappaap"
"936","unannotated"
"937","unannotated"
"938","unannotated"
"939","unannotated"
"940","MSaaapaa"
"941","unannotated"
"942","Epxaa"
"943","unannotated"
"944","ABpxpaaaaa"
"945","unannotated"
"946","ABalapxppp"
"947","ABpxpapaap"
"948","ABaraaaaax"
"949","ABalapaaap/ABalappapp"
"950","MSxapppp"
"951","ABpxapappa"
"952","ABpxppppap"
"953","unannotated"
"954","ABpxppppa"
"955","ABpxaapapa"
"956","Dxapa"
"957","unannotated"
"958","ABaraaaaa"
"959","Cxpapa"
"960","unannotated"
"961","ABalpapapa/ABarappapa"
"962","unannotated"
"963","unannotated"
"964","unannotated"
"965","Cxpaaax"
"966","Cxpap"
"967","ABaraaaapa"
"968","unannotated"
"969","MSaaaap"
"970","unannotated"
"971","MSaaaaaa"
"972","ABarppxpp"
"973","unannotated"
"974","unannotated"
"975","unannotated"
"976","Eaxaa"
"977","ABpxappaap"
"978","unannotated"
"979","ABalpaaapa/ABarapaapa"
"980","ABalaaaalp/ABalaapaap"
"981","ABalpaaapa/ABarapaapa"
"982","unannotated"
"983","ABarpaapap/ABarpaappx"
"984","ABpxppppap"
"985","ABpxpaappa"
"986","ABpxpaapp"
"987","ABalapxpapa/ABpxpaaappa"
"988","ABpxpaaaaa"
"989","MSxpapaa"
"990","ABpxpaappa"
"991","ABalpppapp/ABpraaaapp"
"992","Cxppaax"
"993","Dxpp"
"994","ABplpappp"
"995","MSxaapap"
"996","Cxppa"
"997","Cxaaax/Cxaapa"
"998","MSxppap"
"999","ABarpaaap"
"1000","Dxpp"
"1001","Cxpapp"
"1002","ABalpaaaaa/ABarapaaaa"
"1003","ABpxppapa"
"1004","unannotated"
"1005","ABaraapxap"
"1006","ABpxppppap"
"1007","MSxapppa"
"1008","MSaaapp"
"1009","MSxpapap"
"1010","MSaaaapp"
"1011","unannotated"
"1012","ABpxaapppa"
"1013","ABalpppaaa/ABpraaaaaa"
"1014","Epxpp"
"1015","MSxpppp"
"1016","ABpxpapaaa"
"1017","Cxpppa"
"1018","ABpxpppaa"
"1019","ABpxppaaa"
"1020","MSxpppap"
"1021","unannotated"
"1022","ABpxppppp"
"1023","unannotated"
"1024","Cxppaax"
"1025","ABalpppppaa/ABpraaappaa"
"1026","ABalppppppp/ABpraaapppp"
"1027","ABpxapppap"
"1028","unannotated"
"1029","Cxpaaa"
"1030","MSxpaaa"
"1031","ABpxpapaapa/ABpxpapappa"
"1032","Cxpaa"
"1033","ABpxppappa"
"1034","ABalapaaap/ABalappapp"
"1035","unannotated"
"1036","Cxaapp"
"1037","unannotated"
"1038","ABalaaaalp/ABalaapaap"
"1039","MSxaapapa/ABalpappapp"
"1040","unannotated"
"1041","MSaaaaap"
"1042","ABpxppappp"
"1043","unannotated"
"1044","MSxapp"
"1045","ABalpaaaaa/ABarapaaaa"
"1046","MSxppaa"
"1047","MSxpappp"
"1048","ABprpapppa"
"1049","ABpxpppppa"
"1050","Cxpappx"
"1051","unannotated"
"1052","unannotated"
"1053","ABpxppappp"
"1054","ABpxpapaapp/ABpxppaaaaa"
"1055","unannotated"
"1056","unannotated"
"1057","Dxppp"
"1058","Exx"
"1059","ABpxpppaa"
"1060","MSxpppaa"
"1061","ABaraaaapa"
"1062","ABpxaappaa"
"1063","MSxpappp"
"1064","ABarpapppx/ABplaaappx"
"1065","Dxxa"
"1066","ABpxppaaaa"
"1067","unannotated"
"1068","Dxpppx"
"1069","Cxaaax/Cxaapa"
