Your Input	Sequence Name
nhr-281	F16B12.8
dac-1	B0412.1
zyx-1	F42G4.3
M03D4.4	M03D4.4
rabs-5	Y42H9AR.3
F16B12.6	F16B12.6
nhr-52	K06B4.2
nhr-1	R09G11.2
rbm-22	T11G6.8
tra-4	F53B3.1
madf-10	Y106G6H.4
ccch-5	Y57G11C.25
nhr-193	F57G8.6
nhr-121	E02H9.8
fkh-4	C29F7.5
nhr-2	C32F10.6
nhr-122	Y41D4B.9
dhhc-5	R13F6.5
nhr-161	C33G8.7
ZK185.1	ZK185.1
nhr-86	Y40B10A.8
lin-29	W03C9.4
nhr-147	C03G6.8
nhr-91	Y15E3A.1
nhr-56	F44C8.6
hlh-19	F57C12.3
ceh-33	C10G8.7
nfyc-1	F23F1.1
flh-1	Y11D7A.12
tbx-9	T07C4.6
hlh-13	F48D6.3
nhr-138	C28D4.9
zip-12	Y75B8A.29
let-391	C27A12.3
ref-1	C01F6.5
ref-1	T01E8.2
cep-1	R10E11.1
cep-1	F52B5.5
cep-1	K04B12.1
nfx-1	C15H11.3
nfx-1	C16A3.7
ref-2	F23B2.6
ref-2	C47C12.3
elf-1	C26D10.5
elf-1	C24A1.2
