,90_160,160_210,210_270,270_330,330_390,390_450,450_510,510_580,580_650,gt_650
nhr-117,204,612,204,204,1020,1020,408,816,3061,2449
nhr-119,323,323,323,323,968,1613,1290,1290,2581,968
nhr-120,2742,323,565,81,81,161,1210,2339,1290,1210
nhr-121,606,227,76,227,76,227,682,1288,3939,2652
nhr-122,1473,1240,1527,1605,994,964,515,419,533,731
nhr-123,250,250,250,250,750,1750,1500,250,250,4500
nhr-124,435,435,435,435,870,435,870,5217,435,435
nhr-125,55,273,164,164,164,1749,3224,1694,1366,1148
nhr-126,43,43,43,43,128,128,1923,2094,4060,1496
nhr-127,692,769,154,538,1000,1846,1692,1231,615,1462
nhr-128,101,404,101,202,101,404,2121,707,3636,2222
nhr-129,2273,1234,1039,649,455,844,1364,584,1234,325
nhr-130,400,1200,400,400,1600,800,800,2400,1200,800
nhr-131,145,435,435,435,870,1304,870,1159,3188,1159
nhr-132,31,210,326,443,427,1460,2780,2050,1157,1118
nhr-133,1125,750,625,500,500,1125,875,125,1375,3000
nhr-134,19,19,77,58,77,368,1509,2534,2379,2959
nhr-135,174,203,638,667,145,435,377,1072,2493,3797
nhr-136,1409,1141,1678,604,940,805,604,671,1007,1141
nhr-137,849,1698,3019,1604,377,472,377,660,189,755
nhr-138,184,41,20,61,1207,2536,2025,1554,1534,838
nhx-1,893,357,179,714,1250,893,1250,536,2857,1071
nhx-2,761,543,1087,326,543,978,652,978,1522,2609
nhx-3,185,1296,1852,556,741,185,370,556,185,4074
nhx-4,258,691,2021,2082,2351,2041,278,175,62,41
nhx-5,568,726,789,757,820,1956,1420,1672,505,789
nhx-8,1739,761,109,217,326,652,978,2826,109,2283
nhx-9,106,426,638,106,532,426,4894,213,106,2553
nid-1,31,606,1712,2011,2901,2207,365,72,49,45
nlp-1,1389,278,1944,1944,556,1389,1111,278,278,833
nlp-2,56,56,56,56,56,56,787,2640,3202,3034
nlp-3,642,734,642,367,550,826,1193,826,2385,1835
nlp-4,1633,2449,1143,1878,1143,898,449,82,204,122
nlp-5,263,263,263,263,263,263,526,526,7105,263
nlp-6,72,72,72,72,144,216,1655,863,2590,4245
nlp-7,169,169,169,169,169,1186,678,2881,3729,678
nlp-8,276,23,230,23,92,415,2627,2926,2581,806
nlp-9,923,154,615,308,308,1077,462,769,615,4769
